JBLU, 302.17, 20
LUV, 378.24, 8
DAL, 404.49, 10
UBER, 997.05, 18
CHWY, 1073.35, 10
TAN, 1172.25, 15
QCLN, 1180.26, 18
PAVE, 1217.52, 48
CFG, 1222.20, 30
BYND, 1397.90, 10
ALLY, 1653.08, 40
GOOG, 1772.64, 1
PFE, 1781.88, 45
ARKK, 1828.20, 12
GM, 1994.81, 38
SPOT, 2251.34, 7
SPYX, 2449.27, 25
AMZN, 3123.60, 1
TSLA, 7698.15, 10
Cash, 3776.16, 1
